"","words","term.freq","doc.freq"
"1","commerce",3,3
"2","canada.extract",1,1
"3","letter",122,83
"4","population",69,41
"5","canada",137,48
"6","reckoned",1,1
"7","souls",7,6
"8","whilst",15,13
"9","exports",12,7
"10","exceeded",5,3
"11","millions",33,20
"12","livres",2,2
"13","tournois",1,1
"14","imports",7,4
"15","greatly",25,18
"16","conjecture",1,1
"17","differences",3,3
"18","formed",32,28
"19","present",176,94
"20","canadas",7,6
"21","rated",3,3
"22","augmentation",3,3
"23","appear",28,25
"24","surpassed",2,2
"25","proportional",2,2
"26","ratio",5,5
"27","population.from",1,1
"28","varied",4,4
"29","chiefly",20,19
"30","wheat",31,19
"31","furs",5,4
"32","peltry",1,1
"33","years",158,84
"34","increased",18,15
"35","surprising",5,5
"36","sum",50,33
"37","presently",3,2
"38","perceive",4,4
"39","following",121,92
"40","estimate",10,10
"41","truth",14,10
"42","skims",1,1
"43","grain",21,16
"44","flour",19,11
"45","biscuit",3,3
"46","lumber",2,2
"47","descriptions",11,10
"48","pot",2,2
"49","ashes",4,4
"50","beets",1,1
"51","pork",12,8
"52","sundries",1,1
"53","tedious",3,3
"54","particularise",1,1
"55","hulls",1,1
"56","masts",5,5
"57","yards",14,10
"58","vessels",82,43
"59","built",9,9
"60","province",54,31
"61","total",28,25
"62","domestic",13,11
"63","produce",60,42
"64","sundry",3,3
"65","goods",33,23
"66","imported",13,11
"67","exported",2,2
"68","commissions",6,6
"69","additional",24,18
"70","charges",9,5
"71","cent",26,14
"72","amounts",8,6
"73","dutiable",2,1
"74","articles",43,24
"75","quebec",60,35
"76","impossible",14,13
"77","ascertain",9,9
"78","value",40,31
"79","safely",7,7
"80","conlude",1,1
"81","importans",1,1
"82","leaving",28,26
"83","balance",1,1
"84","favour",40,31
"85","provinces",18,13
"86","ago",55,47
"87","appeared",56,42
"88","incredible",3,3
"89","property",67,46
"90","carried",52,43
"91","tonnage",7,6
"92","navigated",1,1
"93","seamen",8,7
"94","freight",4,4
"95","primage",1,1
"96","guineas",6,5
"97","ton",8,6
"98","consideration",35,27
"99","britain",67,43
"100","gross",5,3
"101","amount",58,37
"102","cargoes",11,5
"103","landed",35,27
"104","exceed",10,10
"105","tenth",5,4
"106","united",202,72
"107","kingdom.our",1,1
"108","considerable",60,46
"109","states",229,88
"110","respectable",36,31
"111","intelligent",9,9
"112","american",111,73
"113","merchants",19,18
"114","begun",6,6
"115","settle",14,13
"116","believe",35,30
"117","scale",13,10
"118","turned",9,8
"119","british",162,75
"120","industry",26,20
"121","commencing",3,3
"122","channel",7,7
"123","jamaica",19,11
"124","gazette",22,22
"125","kingston",29,13
"126","sept",39,15
"127","ship",121,68
"128","belonging",44,37
"129","glasgow",23,16
"130","seized",11,10
"131","months",37,35
"132","officers",53,38
"133","majesty's",53,37
"134","customs",2,2
"135","port",92,52
"136","pro",8,7
"137","vided",1,1
"138","register",6,5
"139","parliament",40,28
"140","condemned",3,3
"141","court",56,30
"142","vice",5,4
"143","admiralty",7,6
"144","held",28,19
"145","spanish",29,24
"146","town",142,71
"147","friday",22,19
"148","week",44,31
"149","sold",31,23
"150","morning",49,38
"151","dispatches",8,8
"152","received",137,95
"153","boston",9,9
"154","brought",68,47
"155","capt",32,20
"156","liverpool",21,18
"157","dated",67,56
"158","november",20,15
"159","contain",20,20
"160","account",67,54
"161","arrival",34,32
"162","ships",63,47
"163","newfoundland",14,10
"164","halifax",18,12
"165","provisions",69,35
"166","kinds",10,10
"167","plentiful",9,8
"168","reasonable",8,8
"169","latest",4,4
"170","accounts",51,43
"171","west",96,47
"172","indies",26,22
"173","supply",42,29
"174","islands",67,28
"175","possibly",13,13
"176","obtained",38,28
"177","consequence",57,46
"178","bounties",2,2
"179","given",91,65
"180","majesty",16,15
"181","spare",7,7
"182","extended",16,14
"183","colonies",100,44
"184","surprised",11,11
"185","particularly",31,24
"186","consider",25,20
"187","price",52,32
"188","bread",7,5
"189","assistance",27,21
"190","french",35,23
"191","dutch.the",1,1
"192","crops",9,9
"193","island",84,48
"194","promise",12,9
"195","harvest",5,5
"196","eastward",5,4
"197","ahs",1,1
"198","generally",31,24
"199","considered",45,33
"200","productive",9,9
"201","part.by",1,1
"202","westmoreland",1,1
"203","arrived",144,83
"204","learn",47,36
"205","slaves",42,21
"206","mutinous",1,1
"207","alarming",11,10
"208","degree",34,25
"209","acquainted",10,10
"210","intended",35,33
"211","abolition",6,6
"212","slave",15,9
"213","trade",76,46
"214","extract",46,44
"215","dreadfully",1,1
"216","alarmed",8,8
"217","scarcity",9,9
"218","common",55,38
"219","market",48,28
"220","dollars",51,26
"221","cwt",5,4
"222","bran",1,1
"223","oats",5,4
"224","bushel",10,6
"225","pease",3,3
"226","taken",118,82
"227","quantity",28,26
"228","city",48,36
"229","liberties",2,1
"230","order",81,59
"231","governor",124,61
"232","council",32,18
"233","find",62,43
"234","serve",16,15
"235","days",86,58
"236","worse",5,5
"237","district",23,21
"238","montreal",49,24
"239","sent",84,61
"240","frequent",5,5
"241","supplies.wheat",1,1
"242","bad",25,22
"243","shipped",6,5
"244","year",118,68
"245","sells",5,5
"246","merchant",19,16
"247","upwards",32,27
"248","fifteen",12,12
"249","pounds",20,15
"250","job.government",1,1
"251","relief",20,15
"252","poor",36,26
"253","caused",14,11
"254","issued",24,20
"255","contractor",2,2
"256","rise",18,17
"257","dollar's",2,1
"258","worth",19,17
"259","time",241,117
"260","day",133,83
"261","yesterday",30,26
"262","delivered",12,11
"263","way.in",1,1
"264","letters",41,32
"265","thursday's",1,1
"266","post",20,15
"267","bushels",11,7
"268","damaged",3,3
"269","england",103,64
"270","hear",47,17
"271","cargo",27,26
"272","york",82,46
"273","vessel",108,61
"274","call",27,23
"275","brunswick",6,5
"276","probably",30,24
"277","people",196,86
"278","want",53,37
"279","detained",3,3
"280","government",211,107
"281","done",32,27
"282","starving",4,4
"283","condition",41,30
"284","proclamation",22,13
"285","permit",6,6
"286","importation",9,8
"287","states.my",1,1
"288","servant",6,6
"289","baker's",1,1
"290","half",57,34
"291","watching",3,3
"292","hours",26,22
"293","came",56,48
"294","overn",1,1
"295","eighteen-pennyworth",1,1
"296","small",77,62
"297","loaves",1,1
"298","weighing",2,2
"299","thirty-five",1,1
"300","shillings",7,5
"301","paid",48,35
"302","lord",82,40
"303","knows",7,7
"304","us–except",1,1
"305","distribute",1,1
"306","troops",62,31
"307","queen.mr",1,1
"308","davidson",3,3
"309","assured",16,14
"310","thursday",35,31
"311","flourin",1,1
"312","country",372,141
"313","weeks",22,19
"314","deal",10,6
"315","pains",5,5
"316","informed",42,39
"317","subjuct",1,1
"318","indebted",6,6
"319","allow",11,10
"320","stood",10,9
"321","forth",15,15
"322","offered",24,21
"323","expence",22,18
"324","quantities",8,8
"325","insisted",3,3
"326","coinage",7,5
"327","americans",54,34
"328","won",3,3
"329","contracted",5,5
"330","congress",50,21
"331","coined",2,2
"332","rate",34,20
"333","annum",9,6
"334","contracters",1,1
"335","bound",34,32
"336","famous",2,2
"337","jersey",4,3
"338","copper",14,12
"339","little",89,60
"340","larger",11,9
"341","halfpence",2,2
"342","passes",8,6
"343","states;–silver",1,1
"344","gold",27,13
"345","coins",6,5
"346","nations",28,23
"347","pass",26,17
"348","cur",1,1
"349","rent",11,7
"350","ordered",30,23
"351","silver",15,12
"352","gentleman",60,40
"353","bermuda",6,4
"354","friend",38,21
"355","norfolk",7,6
"356","captain",110,59
"357","bearer",4,3
"358","distress",26,15
"359","provi",1,1
"360","sions",1,1
"361","corn",31,20
"362","sale",26,20
"363","past",20,18
"364","baltimore",7,6
"365","immeddiately",1,1
"366","barrels",9,4
"367","superfine",1,1
"368","barrel",4,4
"369","expected",51,42
"370","relieve",5,5
"371","number",213,121
"372","obliged",20,15
"373","live",40,28
"374","greens",1,1
"375","field",24,19
"376","hamilton",7,2
"377","advice",13,11
"378","counsel",8,7
"379","opened",20,17
"380","foreign",37,27
"381","computed",3,3
"382","march",44,30
"383","laden",9,6
"384","allows",3,3
"385","salted",2,2
"386","permited",1,1
"387","allowed",27,25
"388","dispose",6,5
